Source,Site,Month,Year,Parameter,Value,Units,Total Depth,Sample Depth
DEP ECA,STL169,9,2017,Nitrate-Nitrite (N),0.017228241,mg/L N,3,
DEP ECA,STL172,9,2017,Nitrate-Nitrite (N),0.0840402,mg/L N,5.2,
DEP ECA,GOC002,10,2017,Nitrate-Nitrite (N),0.028993869,mg/L N,10,
DEP ECA,GOC007,10,2017,Nitrate-Nitrite (N),0.011345427,mg/L N,6,
DEP ECA,GOC010,10,2017,Nitrate-Nitrite (N),0.004622211,mg/L N,9,
DEP ECA,STL164,10,2017,Nitrate-Nitrite (N),0.019049112,mg/L N,3,
DEP ECA,STL167,10,2017,Nitrate-Nitrite (N),0.088382277,mg/L N,8.5,
DEP ECA,STL172,10,2017,Nitrate-Nitrite (N),0.008684154,mg/L N,4.6,
DEP ECA,GOC002,11,2017,Nitrate-Nitrite (N),0.002241072,mg/L N,15.2,
DEP ECA,GOC005,11,2017,Nitrate-Nitrite (N),0,mg/L N,5.5,
DEP ECA,GOC009,11,2017,Nitrate-Nitrite (N),0,mg/L N,9.1,
DEP ECA,GOC014,11,2017,Nitrate-Nitrite (N),0.02101005,mg/L N,29.9,
DEP ECA,STL161,11,2017,Nitrate-Nitrite (N),0.045241641,mg/L N,4.9,
DEP ECA,STL164,11,2017,Nitrate-Nitrite (N),0.000560268,mg/L N,3,
DEP ECA,STL169,11,2017,Nitrate-Nitrite (N),0.000420201,mg/L N,2.4,
DEP ECA,STL172,11,2017,Nitrate-Nitrite (N),0.034876683,mg/L N,3.7,
DEP ECA,GOC002,12,2017,Nitrate-Nitrite (N),0.009580583,mg/L N,17.4,
DEP ECA,GOC006,12,2017,Nitrate-Nitrite (N),0.00144269,mg/L N,4.6,
DEP ECA,GOC009,12,2017,Nitrate-Nitrite (N),0.000658315,mg/L N,8.2,
DEP ECA,STL164,12,2017,Nitrate-Nitrite (N),0.012143809,mg/L N,2.4,
DEP ECA,STL167,12,2017,Nitrate-Nitrite (N),0.05195085,mg/L N,6.7,
DEP ECA,STL172,12,2017,Nitrate-Nitrite (N),0.031206928,mg/L N,4.6,
DEP ECA,GOC002,1,2018,Nitrate-Nitrite (N),0.01260603,mg/L N,5.8,
DEP ECA,GOC005,1,2018,Nitrate-Nitrite (N),0.013726566,mg/L N,5.2,
DEP ECA,GOC010,1,2018,Nitrate-Nitrite (N),0.006162948,mg/L N,9.4,
DEP ECA,STL165,1,2018,Nitrate-Nitrite (N),0.000840402,mg/L N,4,
DEP ECA,STL168,1,2018,Nitrate-Nitrite (N),0.000280134,mg/L N,11,
DEP ECA,GOC002,2,2018,Nitrate-Nitrite (N),0.006303015,mg/L N,15.8,
DEP ECA,GOC004,2,2018,Nitrate-Nitrite (N),0.005322546,mg/L N,4.6,
DEP ECA,GOC009,2,2018,Nitrate-Nitrite (N),0.007983819,mg/L N,7.6,
DEP ECA,GOC015,2,2018,Nitrate-Nitrite (N),0.004482144,mg/L N,28,
DEP ECA,STL162,2,2018,Nitrate-Nitrite (N),0.00980469,mg/L N,3,
DEP ECA,STL167,2,2018,Nitrate-Nitrite (N),0.001680804,mg/L N,7.9,
DEP ECA,STL170,2,2018,Nitrate-Nitrite (N),0.004342077,mg/L N,7.9,
DEP ECA,BOC070,3,2018,Nitrate-Nitrite (N),0.009244422,mg/L N,3.4,
DEP ECA,GOC001,3,2018,Nitrate-Nitrite (N),0.014426901,mg/L N,6.1,
DEP ECA,GOC002,3,2018,Nitrate-Nitrite (N),0.019329246,mg/L N,15.8,
DEP ECA,GOC005,3,2018,Nitrate-Nitrite (N),0.019329246,mg/L N,5.5,
DEP ECA,GOC010,3,2018,Nitrate-Nitrite (N),0.011065293,mg/L N,9.1,
DEP ECA,ILW119,3,2018,Nitrate-Nitrite (N),0.003361608,mg/L N,4,
